"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"WA",0,1,1,41910,42350.5376345502,42132.5641621598,42322.1336694699,42231.8900158803,42694.4283427736,42519.9231463825,41769.6007177659,42620.2289634714,43465.6131801315,44303.939922168,45147.897598316,45994.3718012067,46862.7329318968,47755.7236421789,48683.6351027511,49644.4170489123,50358.5810025351,51071.433543186,51774.5740233952,52474.1161568529,53168.4612908986,53817.0270034164,54461.6413578038,55104.7680533617,55747.2206934246,56396.4173316925,57020.5710472413,57655.2132559681,58302.0331221411,58989.5663860855,59724.6361809518,60495.5370144922,61317.2608621917,62190.563350271,63118.4322719351,64090.9313501453,64676.700815834,65303.6725571483,65959.4146800389,66632.3650667496,67313.4199858211,68019.7681493872,68731.7117837718,69435.2912341892,70129.2240028812,70813.4418869814,71497.4345736952,72168.397234871,72829.8342455245,73486.7830612066,74140.4785451919,74799.381721969,75464.1711581564,76137.4747554707,76817.5450909847,77501.9995567903,78193.9701532725,78892.523150649,79596.0389069887,80303.3424259718,81013.9346223808,81725.9220591798,82440.2755890426,83156.3806189668,83872.5809869018,84585.5776151595,85292.0426646316,85994.5496399481,86691.9892896826,87384.2814142658,88070.9479711623,88750.1662425262,89425.8915792052,90098.8658349584,90770.0288107987,91441.4041141917,92112.5323062291,92785.2500387143,93460.2262828756,94138.3583039194,94819.9719037253,95504.9132504195,96193.5031198422,96885.9036391526,97581.9479287381,98281.2055036193,99018.7451648812,99759.0526233056,100501.524247175,101245.402845393
"WA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",1,1,1,44000,42166.5594215811,42626.2348929717,42406.8681763955,42596.1912613369,42505.1609824703,42968.3515101621,42813.3601437206,42080.8699366792,42953.5744832307,43821.1968241479,44682.0568483654,45541.0343271545,46401.6916029826,47283.5294438939,48189.4198812597,49129.5590438452,50101.656046351,50825.3199169743,51547.1738158534,52258.5253806058,52965.3831329249,53667.3252516496,54323.4810013087,54975.7019813471,55626.2271943505,56276.4436253075,56923.1239278629,57544.9863620123,58178.1082538196,58825.0101065925,59513.2423113175,60248.1939934957,61019.645190431,61842.5821462893,62717.5253683768,63647.1646183634,64620.8306159054,65207.0501140202,65834.2065543073,66489.9001532764,67162.9409838501,67843.8226890685,68549.8201405275,69261.2883076985,69964.3843378412,70657.9438555972,71343.1142305673,72028.2046966519,72700.3299831674,73363.0639249833,74021.4430697051,74676.7145584372,75337.4900669111,76004.2363867816,76679.5950410994,77362.1055262133,78049.1437090376,78743.9084198717,79445.2159269365,80151.5665244885,80861.7311515273,81573.5970505737,82286.8111113126,83002.536979411,83720.011785873,84437.4507551212,85151.0403762912,85858.1120238479,86561.2000867009,87259.1974000982,87952.0171427121,88639.218463547,89319.0245507486,89995.3554590371,90668.8672703279,91340.7481397519,92012.8604292383,92684.7660217,93358.3229918768,94034.2000090152,94713.285126579,95395.897148459,96081.8962171412,96771.5976907092,97465.1522265685,98162.3850573776,98862.8685135746,99601.7264897841,100343.371502643,101087.196063784
"WA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",2,1,1,43540,44359.9609028259,42519.9627141426,42999.7047493518,42776.5593542635,42964.1806221371,42870.3129777681,43352.5670281033,43214.7016676559,42496.4872950873,43391.0764369181,44280.6479835844,45155.9831757612,46029.4817831559,46903.7987403856,47798.5470792735,48716.6747486675,49668.0983338869,50650.8379606047,51382.8392466267,52112.4683915534,52830.7426247919,53543.880393286,54252.0019339141,54914.2784129841,55572.522450619,56228.8913196021,56874.7295204887,57517.7624952616,58136.1292557968,58766.4634628777,59412.0696531002,60098.4664952904,60831.8171682287,61602.2121308187,62424.7129894449,63299.6908055508,64228.2787103604,65201.2906971428,65785.8291194879,66410.9596810109,67064.4581316058,67734.7597954558,68413.089815343,69116.4086951476,69824.9443010102,70525.2093047441,71217.3814742936,71901.0343511013,72584.6942066631,73255.4839188822,73916.9579049491,74574.1559848973,75228.461073782,75888.5112252897,76554.6654417256,77229.5733261197,77911.8649999459,78598.9454323862,79293.9112674794,79995.4355939784,80702.0386683067,81412.5853054528,82124.8971532163,82838.5999760631,83554.8379960347,84272.8109831515,84990.7360087881,85704.8368141183,86412.4316598416,87116.0175013405,87814.4897278416,88507.7550891739,89195.4273683182,89875.7553550154,90552.628664553,91226.7287179202,91899.2586399159,92572.0531929486,93244.6802041385,93919.0183973453,94595.7361603678,95275.712765873,95959.2682920304,96646.2681734323,97337.0225183516,98031.6707926005,98730.0305147373,99431.6698813507,100171.771308289,100914.678184501
"WA",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",3,1,1,43990,43949.7736364997,44720.8985921535,42873.9513361476,43373.65843672,43146.3480792439,43331.9396997215,43254.1471134742,43755.1435373054,43634.0250862635,42929.6639032003,43845.8342049862,44749.3048740663,45638.776251194,46526.4216145931,47413.9979096348,48321.2463829223,49250.8629234054,50213.1359526057,51206.0742892428,51945.9702257434,52682.9271475542,53407.9843538264,54126.9838133969,54840.8539463871,55508.8276000483,56172.6756454874,56824.1471639937,57465.7522582961,58105.2432033031,58720.2263602388,59347.8574526824,59991.0449466629,60675.5920925245,61407.3293077249,62176.6367019971,62998.6335395161,63872.3521309184,64799.7958745801,65772.0317621793,66354.8088133555,66977.8457960012,67628.4443350841,68295.9404031348,68971.6343778067,69672.2074006524,70377.7413983517,71076.5924048251,71767.3072001994,72449.3816080361,73131.5408824987,73800.9213178299,74461.0664957909,75117.007225047,75770.2672281195,76429.5070236253,77094.9690495445,77769.3327285315,78451.2967080073,79138.3051217945,79833.3468185709,80534.9674679269,81241.8069314469,81952.6718672368,82665.354323918,83379.4727180998,84096.154912138,84814.5995408274,85532.9652630185,86247.5307590033,86955.6010716216,87659.6377349377,88358.5403781524,89052.2081418814,89740.307441454,90421.1190234957,91098.4855521694,91773.1276001421,92446.2579981619,93119.6854981422,93792.9834193175,94468.0503896542,95145.5550993535,95826.3674030419,96510.8087911454,97198.7498405729,97890.4955640513,98586.1740623184,99285.5960560227,99988.3255859842,100729.600117301
"WA",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",4,1,1,42360,44394.0066122849,44359.7402197085,45080.4995438417,43226.3924211585,43745.9461424181,43514.1282811927,43716.6574275882,43654.6076238051,44174.0326929113,44069.3257103272,43378.4671926137,44308.1817304084,45225.2354580159,46128.5006955459,47029.9140626861,47930.360709118,48849.3772867685,49790.0665563696,50762.7636101561,51765.4682272478,52512.8401752683,53257.0020342923,53988.4393129515,54712.9057440245,55432.135976987,56105.4112582036,56764.2488025915,57411.0148187357,58048.5434753651,58684.6127984375,59296.3395234789,59920.2316535425,60561.0296336355,61243.7412132921,61973.884665999,62742.0971472976,63562.3460131179,64434.750179909,65360.9790654907,66332.360702326,66913.3326607373,67533.6023804159,68181.283190299,68845.9378082236,69518.9712852568,70216.7588925094,70920.7578319089,71618.1649661121,72307.4025150651,72987.8767382505,73668.5087761154,74336.4610225011,74995.2480735443,75649.9074270782,76302.0925304938,76960.4694056387,77625.2021216151,78298.9671953242,78980.5481319538,79667.412192049,80362.458808189,81064.2348363681,81771.2679746363,82482.3901387917,83195.387293346,83909.8731561858,84626.9990419054,85345.8710246104,86064.6348891432,86779.6214014732,87488.1223740012,88192.5673485939,88891.8578812318,89585.8872856972,90274.3814326642,90955.6259011061,91633.443700833,92308.5833820948,92982.2680885636,93656.2816415719,94330.2024249865,95005.94895308,95684.1889789544,96365.7836812808,97051.0558575699,97739.8810704233,98432.5588000219,99129.2071216577,99829.6297240482,100533.386672091
"WA",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
