"state","age","female","urban","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"WA",0,1,1,41910,42349.8704603744,42121.7383285863,42291.5861415268,42173.7770622942,42601.0881643504,42385.8570370071,41570.2733688465,41827.4882500323,42050.1208837799,42238.0406668255,42405.0545218331,42574.3525717751,42752.7854096222,42945.4079071774,43163.9457293695,43409.5447292483,43636.5431820203,43869.1699253027,44096.8126018788,44322.7656790528,44545.0863540285,44716.3284052956,44880.4069848859,45035.289485258,45178.1101491354,45307.9937684801,45421.579344077,45522.4516173647,45606.1405879923,45690.8930482142,45780.0388772522,45867.8609462805,45961.5871550784,46063.6659749754,46178.4095561274,46303.033312599,46344.6903630087,46403.6619109791,46475.3723227867,46554.855249876,46637.6440601613,46744.151480594,46854.9160148484,46962.385773763,47066.0625536256,47166.6137282273,47262.7037045089,47351.6414651986,47433.8424440388,47510.2529456293,47579.758076447,47642.5850178274,47700.1013973554,47753.4306899042,47802.5065136221,47847.3257987279,47888.5990692949,47927.506173861,47964.4899583107,48000.0790402986,48035.0404279025,48069.9716881828,48105.4964760906,48141.9743669829,48179.4439346795,48217.4282293846,48255.7342453143,48294.2684090792,48332.3886597411,48369.7414950323,48405.8386708905,48440.3337631377,48472.8493073434,48503.098144904,48530.825972049,48555.9740325623,48578.540431271,48598.2149687568,48615.0836110569,48629.2341851687,48640.9224862292,48650.1332609833,48657.2953174891,48662.6676356944,48666.6675236659,48669.376915264,48696.6180519965,48722.9885193393,48748.6611718978,48773.7489530861
"WA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",1,1,1,44000,42165.9584123072,42617.9919287764,42381.5941530473,42544.6394590991,42420.0141648537,42841.7916888936,42628.6651156757,41814.5015239758,42075.090654184,42301.2286492724,42492.9739826053,42663.9138853084,42836.622060707,43018.0715083387,43213.3998986441,43434.2809443632,43681.6848480234,43909.8637261929,44143.4717372798,44371.6841286973,44597.8127862439,44820.124913252,44991.4274057743,45155.6167840304,45310.6428022395,45453.8656603855,45582.6366456622,45695.0799864996,45795.0985686552,45878.5436865822,45963.255880607,46052.0106310605,46139.7012595104,46233.5636248605,46335.9939821792,46451.1379535209,46575.7329370288,46617.3970809526,46676.2575175115,46747.71310003,46826.988733174,46909.3032807989,47015.2048073556,47125.2996408872,47232.0329804802,47334.9915663103,47435.7960761274,47532.1119244003,47621.2754503831,47703.7029377561,47780.3452426865,47850.0848925317,47913.1427298953,47971.0024904532,48024.6710411663,48074.1587392241,48119.4935110994,48161.3540099491,48200.9036253992,48238.5828860279,48274.858140222,48310.6124276162,48346.3105743617,48382.631573826,48419.9230634362,48458.2138772305,48496.9588015907,48536.090856615,48575.3826195298,48614.25339374,48652.3470119899,48689.1909369249,48724.3669749884,48757.5599269944,48788.4860976594,48816.8947881073,48842.7271007456,48865.9228686399,48886.2398685601,48903.7034831997,48918.5274359814,48930.8335512712,48940.683098074,48948.4413465366,48954.4925810956,48959.0646617382,48961.3747025105,48988.2619304042,49014.2913617973,49039.6342019253
"WA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",2,1,1,43540,44359.9794869252,42513.2899594683,42978.0961265577,42732.1226304624,42887.8721704967,42755.3273571086,43179.0396102639,42966.5236174545,42151.0532352809,42414.5357398776,42643.6593975329,42838.4970993847,43012.6101836552,43188.0318839243,43371.8146078459,43569.1365490166,43791.5053880318,44040.1303563246,44268.8679662912,44502.7816834939,44730.9319504771,44956.346284908,45177.9808738159,45348.5713581153,45512.0792447899,45666.431506807,45807.4035780902,45934.1661591773,46044.5981137348,46142.8032806238,46224.9960003658,46308.0877137043,46395.3037486445,46481.7026633486,46574.5376933529,46676.1581671561,46789.8749719383,46913.1705023948,46953.4457149022,47010.8245494623,47080.7286714648,47158.0767438908,47238.4863026295,47342.4360128691,47450.4571431236,47555.0983961411,47657.0298092829,47756.7122088256,47851.8679149676,47939.8576887661,48021.0999450967,48096.5523918635,48165.1382160404,48227.0877172009,48283.8816047797,48336.5343330496,48385.069758059,48429.5246251215,48470.5702392831,48509.3549141656,48546.3192226695,48581.9267821811,48617.0563069018,48652.1630927898,48687.9197670853,48724.6624239529,48762.4125954707,48800.6224384969,48839.2222359681,48877.9739405694,48916.295369119,48953.8272807839,48990.1019304843,49024.7034525066,49057.3159209716,49087.6588000043,49115.4853703235,49140.7389448774,49163.3619356611,49183.1191461852,49200.0344647685,49214.3261131104,49226.116729771,49235.4716541968,49242.7531699907,49248.3497260449,49252.5148670739,49254.4321065564,49280.9723896732,49306.6674814023
"WA",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",3,1,1,43990,43949.814144489,44714.6996312494,42855.6318664905,43332.8245879972,43077.4113530359,43225.9685913275,43092.9792951665,43518.6802286193,43306.8052073148,42490.0593080899,42756.4432823494,42988.4332835698,43186.3527106377,43363.6146465206,43541.7265156617,43727.8292754442,43926.8910322293,44150.7418293891,44400.5823754778,44629.8893862049,44864.1207227339,45091.9754671924,45316.7024930873,45537.6826548856,45707.5832071859,45870.4290713638,46022.3889143086,46161.1337850303,46285.8983752794,46394.3334981497,46490.7349238159,46571.0994068888,46652.5571428224,46738.2212442597,46823.3098809456,46915.0923169622,47015.1896753371,47127.4446558344,47249.403157929,47288.2531969559,47344.1111908638,47412.0560400592,47487.4421638497,47565.9059229326,47667.8699822551,47773.7803656311,47877.4140211884,47978.2849145898,48076.8134303948,48170.7775040101,48257.5621346444,48337.590648482,48411.8272578116,48479.2266286046,48540.0399540258,48595.7374046357,48647.3410790502,48694.8903803962,48738.4299991432,48778.6240290377,48816.6100566713,48852.8188939059,48887.7230729696,48922.1894875325,48956.6659081816,48991.818641288,49027.9770096835,49065.1448234347,49102.7834817526,49140.8129176212,49178.9865139913,49216.7198575421,49253.6559195058,49289.3254153369,49323.3166179658,49355.3129063551,49385.0368894084,49412.2497494115,49436.8911435147,49458.9118892963,49478.0737715457,49494.4116785502,49508.1395150277,49519.3869272531,49528.2133139553,49534.993837466,49540.1722662145,49543.9369411183,49545.4676438773,49571.6661239072
"WA",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",4,1,1,42360,44394.0579293218,44351.7542349923,45062.3735286914,43191.29139959,43680.5000526108,43415.7969399717,43564.6529677382,43431.315200012,43859.0481692218,43647.8729842961,42829.9257379258,43099.1027880002,43333.9693063298,43534.9670381094,43715.3595716986,43896.1562452228,44084.3299926388,44285.132464909,44510.4646403629,44761.5318621238,44991.4272101748,45225.7455088463,45453.3341874004,45677.4115408098,45897.7715262884,46067.0124330788,46227.4919484905,46377.1034852716,46513.6518117809,46636.4461182692,46742.9149132345,46836.9664493371,46915.5129270799,46995.3434909857,47079.4626889218,47163.2430191551,47253.283419658,47351.8464979532,47462.6277687489,47583.239334731,47620.6451892117,47674.5962752363,47740.5742927128,47813.9819082773,47890.4915518723,47990.4535442695,48095.3638884067,48197.9799936392,48297.7815473636,48395.1490757291,48487.9149057597,48573.4917542089,48652.3062799708,48725.3178211987,48791.5299838892,48851.2015116335,48905.7942665,48956.3412120952,49002.8955267772,49045.5097197136,49084.8458121527,49122.0168139596,49157.4620395642,49191.6497037885,49225.4391306504,49259.2706938515,49293.8101594735,49329.3649203243,49365.9400680609,49402.9929445515,49440.4373009626,49478.0171551659,49515.1528754804,49551.4796549014,49586.5307525895,49619.8985171111,49651.2657166881,49680.3630633299,49706.9504000765,49730.9729545172,49752.3755617297,49770.9362149764,49786.6858188458,49799.8439274255,49810.5327462339,49818.829303224,49825.1808135223,49829.9477403209,49833.3182918129,49834.4685970838
"WA",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
