GISJOIN,STATEFP20
G53000109501002025,53
G53000109501002026,53
G53000109501002027,53
G53000109501002028,53
G53000109501002029,53
G53000109501002030,53
G53000109501002031,53
G53000109501002032,53
G53000109501002033,53
G53000109501002034,53
G53000109501002035,53
G53000109501002036,53
G53000109501002037,53
G53000109501002038,53
G53000109501002039,53
G53000109501002040,53
G53000109501002041,53
G53000109501002042,53
G53000109501002043,53
G53000109501002044,53
G53000109501002045,53
G53000109501002046,53
G53000109501002047,53
G53000109501002048,53
G53000109501002049,53
G53000109501002050,53
G53000109501002051,53
G53000109501002052,53
G53000109501002053,53
G53000109501002054,53
G53000109501002055,53
G53000109501002056,53
G53000109501002057,53
G53000109501002058,53
G53000109501002059,53
G53000109501002060,53
G53000109501002061,53
G53000109501002062,53
G53000109501002063,53
G53000109501002064,53
G53000109501002065,53
G53000109501002066,53
G53000109501002067,53
G53000109501002068,53
G53000109501002069,53
G53000109501002070,53
G53000109501002071,53
G53000109501002072,53
G53000109501002073,53
G53000109501002074,53
G53000109501002075,53
G53000109501002076,53
G53000109501002077,53
G53000109501002078,53
G53000109501002079,53
G53000109501002080,53
G53000109501002081,53
G53000109501002082,53
G53000109501002083,53
G53000109501002084,53
G53000109501002085,53
G53000109501002086,53
G53000109501002087,53
G53000109501002088,53
G53000109501002089,53
G53000109501002090,53
G53000109501003000,53
G53000109501003001,53
G53000109501003002,53
G53000109501003003,53
G53000109501003004,53
G53000109501003005,53
G53000109501003006,53
G53000109501003007,53
G53000109501003008,53
G53000109501003009,53
G53000109501003010,53
G53000109501003011,53
G53000109501003012,53
G53000109501003013,53
G53000109501003014,53
G53000109501003015,53
G53000109501003016,53
G53000109501003017,53
G53000109501003018,53
G53000109501003019,53
G53000109501003020,53
G53000109501003021,53
G53000109501003022,53
G53000109501003023,53
G53000109501003024,53
G53000109501003025,53
G53000109501003026,53
G53000109501003027,53
G53000109501003028,53
G53000109501003029,53
G53000109501003030,53
G53000109501003031,53
G53000109501003032,53
G53000109501003033,53
G53000109501003034,53
G53000109501003035,53
G53000109501003036,53
G53000109501003037,53
G53000109501003038,53
G53000109501003039,53
G53000109501003040,53
G53000109501003041,53
G53000109501003042,53
G53000109501003043,53
G53000109501003044,53
G53000109501003045,53
G53000109501003046,53
G53000109501003047,53
G53000109501003048,53
G53000109501003049,53
G53000109501003050,53
G53000109501003051,53
G53000109501003052,53
G53000109501003053,53
G53000109501003054,53
G53000109501003055,53
G53000109501003056,53
